groupid,url,name,review_id,sentence_id,text,annotation1_Lorena,annotation2_Dora,annotation3_Nika,label_Sara
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,1,1,Doktorica Belak je odlična.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,1,2,"Draga, ugodna, vrlo jasno komunicira i stručno radi.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,1,3,"Sestra je isto iznimno profesionalan, draga i empatična, za svaku preporuku.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,2,1,Izuzetno draga i profesionalna doktorica i sestra.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,2,2,"Posvecuje puno paznje i individualnog pristupa, odgovorila je rado na gomilu mojih pitanja, primile su me zaista brzo.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,2,3,Komunikacija je jednostavna i brza.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,2,4,Sve preporuke!,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,3,1,"Doktorica je stručna ,empatična i brižna.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,3,2,Van radnog vremena posvećuje puno brige za pacijente sa problemima.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,3,3,"Sestra Antonija vrlo profesionalna , ljubezna i susretljiva.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,3,4,Velike preporuke,positive,mixed,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,4,1,"Da mogu dati 100, dala bih joj 100.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,4,2,"Toliko ljubazna, ugodna, prepuna razumijevanja.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,4,3,Velike preporuke i zahvale.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,5,1,Doktorica Belak i sestra Antonija zaista tretiraju pacijenta kao čovjeka.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,5,2,Godinama odlazim na redovne kontrole i prvi put mi je netko objasnio moju situaciju tako da ju razumijem.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,5,3,"Doktorica je izuzetno susretljiva, ljubazna i temeljita i odgovorit će na svako pitanje metodično i jasno.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,5,4,Iskrene preporuke!,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,6,1,"Dr. Belak je divna, njezna i strucna u svom poslu.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,6,2,Najprije je obavila ciljani razgovor potom je slijedio pregled.,neutral,neutral,neutral,neutral
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,6,3,"Prilikom ultrazvucnog pregleda cijelo vrijeme je objasnjavala sto vidi, a u mom slucaju o kojoj je nepravilnosti rijec te koji su daljni koraci u lijecenju, u svemu tome pruza svoju podrsku.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,6,4,Na sva moja pitanja je dala konkretne odgovore i izdvojila dosta vremena.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,6,5,Sve pohvale za liječnicu i medicinsku sestru!,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,7,1,"Topla, strpljiva, nježna i jako stručna doktorica koja je prije svega čovjek.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,7,2,Puno vremena posveti pacijentu i sve objasni.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,7,3,Topla preporuka za sve.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,8,1,Doktorica Belak je najbolja i najnježnija ginekologica.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,8,2,"Izuzetno stručna, empatična i posvećena pacijenticama.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,8,3,Za svaku pohvalu i preporuku!,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,8,4,Dubravka,neutral,neutral,neutral,neutral
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,9,1,"Dr. Belak je toliko topla i osjećajna osoba , te izuzetno stručna osoba.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,9,2,Sestra Antonija uslužnai odlična.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,9,3,SVE POHVALE I PREPORUKE !,positive,mixed,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,10,1,"Od sestre pa do doktorce, ne zna se koja je ljubaznija.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,10,2,Uvijek susretljive za bilo kakvu pomoć.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,10,3,"Stručno, na vrijeme, kvalitetno, samo pohvale mogu reći!",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,11,1,Doktorica i sestra vrlo stručne i ljubazne.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,11,2,U bilo koje doba dana uvijek spremne javiti se i odgovoriti na privatne poruke te adekvatno pacijenta uputiti i educirati u slučaju bilo kakve nedoumice i problema.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,11,3,Nalazi stignu u dogovorenom roku s adekvatnim i razumljivim objašnjenjem istoga.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,11,4,Za svaku preporuku ordinacija.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,12,1,Doktorica Belak i sestra Antonija su primjer kako se zdravstveni djelatnici trebaju odnositi prema svojim pacijentima.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,12,2,"Profesionalne, ljubazne, dostupne i uvijek spremne pomoć.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,12,3,Doktorica je toliko nježna da ni ne osjetiš da te pregledala.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,12,4,Njen sam pacijent više od 20 godina i ne bih ju mijenjala ni za što.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,12,5,Isto tako bi pohvalila Primariusa Damira Zudeniga sa Sv.Duha kojeg mi je preporučila doktorica.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,12,6,"Profesionalan, ljubazan, susretljiv, samo riječi hvale.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,12,7,Zahvalna sam i sretna što sam njihov pacijent.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,12,8,Ukoliko od ginekologa tražite najbolju skrb i profesionalizam moje tople preporuke za te divne ljude.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,13,1,"Ukoliko od ginekologa tražite najbolju skrb i profesionalizam, onda je to zasigurno dr. Belak!",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,13,2,"Njezina stručnosti, nježnost i iskrena ljubaznost vas osvoje na prvu.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,13,3,"Kroz sve moje trudnoće bila je vrlo dostupna, temeljita i smirivala sve moje nesigurnosti u želji da pomogne.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,13,4,Sestri Tonki također sve pohvale na odličnoj i brzoj komunikaciji.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,13,5,Tople preporuke za ordinaciju dr. Belak!,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,14,1,"Ordinacija Belak je iznimna ustanova vrijedna svakog centa, vremena, putovanja.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,14,2,"od sestre Antonije koja je susretljiva, objasni sve bez osjećaja ""kak to ne znaš"", doktorica i doktor koji vode trudnoće, sve i najveće pohvale za njih.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,14,3,Vidi se stručnost i zajedništvo.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,14,4,Sve preporuke!,positive,positive,positive,positive
