groupid;url;name;review_id;sentence_id;text;label;
3;https://najdoktor.com/Snje%C5%BEana-Belak/d16900;Snježana Belak;1;1;Doktorica Belak je odlična.;positive;
3;https://najdoktor.com/Snje%C5%BEana-Belak/d16900;Snježana Belak;1;2;Draga, ugodna, vrlo jasno komunicira i stručno radi.;positive;
3;https://najdoktor.com/Snje%C5%BEana-Belak/d16900;Snježana Belak;1;3;Sestra je isto iznimno profesionalan, draga i empatična, za svaku preporuku.;positive;
3;https://najdoktor.com/Snje%C5%BEana-Belak/d16900;Snježana Belak;2;1;Izuzetno draga i profesionalna doktorica i sestra.;positive;
3;https://najdoktor.com/Snje%C5%BEana-Belak/d16900;Snježana Belak;2;2;Posvecuje puno paznje i individualnog pristupa, odgovorila je rado na gomilu mojih pitanja, primile su me zaista brzo.;positive;
3;https://najdoktor.com/Snje%C5%BEana-Belak/d16900;Snježana Belak;2;3;Komunikacija je jednostavna i brza.;positive;
3;https://najdoktor.com/Snje%C5%BEana-Belak/d16900;Snježana Belak;2;4;Sve preporuke!;positive;
3;https://najdoktor.com/Snje%C5%BEana-Belak/d16900;Snježana Belak;4;1;Da mogu dati 100, dala bih joj 100.;positive;
3;https://najdoktor.com/Snje%C5%BEana-Belak/d16900;Snježana Belak;4;2;Toliko ljubazna, ugodna, prepuna razumijevanja.;positive;
3;https://najdoktor.com/Snje%C5%BEana-Belak/d16900;Snježana Belak;4;3;Velike preporuke i zahvale.;positive;
3;https://najdoktor.com/Snje%C5%BEana-Belak/d16900;Snježana Belak;5;1;Doktorica Belak i sestra Antonija zaista tretiraju pacijenta kao čovjeka.;positive;
3;https://najdoktor.com/Snje%C5%BEana-Belak/d16900;Snježana Belak;5;2;Godinama odlazim na redovne kontrole i prvi put mi je netko objasnio moju situaciju tako da ju razumijem.;positive;
3;https://najdoktor.com/Snje%C5%BEana-Belak/d16900;Snježana Belak;5;3;Doktorica je izuzetno susretljiva, ljubazna i temeljita i odgovorit će na svako pitanje metodično i jasno.;positive;
